handle,amount
Edward__Park,1
hansolar21,1
shu_bit_,1
SiwonHuh,1
r2Jamong,1
Wonnie_mbm_,1
web3probe,1
jayplayco,1
colu_farmer,1
beingRich2000,1
gomtu_xyz,1
MOODOO_Diary,1
museowunsaram,1
tm_uchal,1
hedacool,1
dcryptoinfo,1
cherrycoco_6468,1
sikiri0,1
baeko_02,1
HodlethKR,1
HenriLee92,1
Hope_web3_,1
DaengDaeng_eth,1
chanchaneeNFT,1
seongmoolee,1
periagoge1,1
AirdropKor_eth,1
dilrong_,1
NewPaguinfo,1
oldman_cek,1
churin_3,1
Fromadistance11,1
Bum_cryptotiger,1
ryanyoon_eth,1
bongbongcrypto,1
Crypto1Marine,1
godmimi3,1
Gogogonum,1
hyeok8911,1
auz2or,1
stone_chain,1
MJk9656,1
RaoniKor,1
wangbei__,1
chanthebob,1
baek_project,1
powitkorea,1
Density_fxt,1
